Region,Species,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2019_Q1,2019_Q2,2019_Q3,2019_Q4,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2016_Q1,2016_Q2,2016_Q3,2016_Q4,2015_Q1,2015_Q2,2015_Q3,2015_Q4,2014_Q1,2014_Q2,2014_Q3,2014_Q4,2013_Q1,2013_Q2,2013_Q3,2013_Q4,2012_Q1,2012_Q2,2012_Q3,2012_Q4,2011_Q1,2011_Q2,2011_Q3,2011_Q4,2010_Q1,2010_Q2,2010_Q3,2010_Q4,2009_Q1,2009_Q2,2009_Q3,2009_Q4,2008_Q1,2008_Q2,2008_Q3,2008_Q4,2007_Q1,2007_Q2,2007_Q3,2007_Q4,2006_Q1,2006_Q2,2006_Q3,2006_Q4,2005_Q1,2005_Q2,2005_Q3,2005_Q4,2004_Q1,2004_Q2,2004_Q3,2004_Q4,2003_Q1,2003_Q2,2003_Q3,2003_Q4,2002_Q1,2002_Q2,2002_Q3,2002_Q4
National Capital Region ,Acetes ,14.47,10.9,3.92,14.31,5.220000000000001,4.9,5.54,5.220000000000001,3.31,3.31,3.31,3.31,2.65,2.65,2.65,2.65,0.24,0.16,0.24,0.32,0.15,10.4,2.6,0.32,0.03,8.53,2.57,0.11,5.49,11.5,2.64,1.24,3.16,10.18,4.25,1.11,3.0,9.02,38.74,81.12,5.58,52.53333333333334,62.74,89.28,38.28,24.08,19.13,95.16,27.49,26.78,100.78,124.64,1.17,3.3,89.95,104.11,57.14666666666667,28.27,110.67,32.5,1.35,19.4,88.57,122.15,12.5,24.23,128.97,43.57,4.6,7.17,88.33,126.67,124.24000000000001,124.24000000000001,125.15,123.33,,,,,1.4400000000000002,1.0,2.12,1.2,20.0,20.0,20.0,20.0,100.0,100.0,100.0,100.0
National Capital Region ,Anchovies ,2.34,1.39,0.44,1.39,5.43,1.6,9.26,5.43,12.0,3.84,1.28,3.32,7.8,4.37,21.63,11.62,72.71,22.15,23.57,12.26,81.66,205.04,34.66,33.1,62.62,22.82,34.27,21.74,79.76,29.39,31.35,27.05,61.3,78.33,60.13,48.65,29.78,32.8,18.9,88.84,31.09,47.71,72.6,74.52,42.28,33.88,47.56,53.45,22.64,26.95,47.71,56.18,29.43,70.73,69.73,55.65,46.12,31.53,102.98,56.45,15.3,43.37,67.43,75.13,25.27,37.85,50.13,140.03,32.37,54.63,78.6,48.67,8.0,9.6,59.5,50.85,7.5,7.0,53.82,31.97,29.0,65.0,89.02,39.66,4.0,11.0,1.0,1.0,5.0,10.0,258.0,1.0
National Capital Region ,Big-eyed scad ,12.48,192.4,170.16,61.8,126.4,44.92,170.16,62.36,61.74,163.04,85.63,29.2,7.78,42.47,150.22,68.49,40.86,90.86,230.87,135.84,64.41,57.51,57.71,92.59,118.13,63.7,69.22,288.42,97.29,207.89,616.96,313.09,138.52,85.99,148.83,277.15,108.42,168.08,385.37,224.73,202.12,230.64,483.7,280.92,325.41,454.57,603.34,629.88,197.12,391.82,613.42,897.22,500.59,363.72,1028.57,625.08,373.96,230.07,370.89,466.67,474.45,127.78,227.55,345.14,172.54,215.79,204.81,404.91,228.42,201.82,413.81,489.81,419.6,253.89,427.27,391.39,306.8,203.0,605.45,342.79,355.0,238.0,935.34,433.62,429.0,816.0,1134.0,604.0,247.0,503.0,1229.0,1060.0
National Capital Region ,Bigeye tuna ,15.46,13.99,14.725000000000001,14.725000000000001,4.46,7.65,4.46,1.27,5.6,34.56,2.97,3.73,8.62,8.47,6.83,2.27,39.06,15.26,3.24,3.9,84.26,82.61,51.03,53.66,63.4,74.18,48.62,52.16,51.64,107.09,55.26,51.57,9.6,43.07,74.31,64.34,21.6,98.72,5.4,41.906666666666666,,,,,,,,,,,,,,,,,140.0,140.0,140.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Capital Region ,Blue crab ,1.25,1.18,1.2149999999999999,1.2149999999999999,0.63,0.63,0.63,0.63,9.0,0.6,3.283333333333333,0.25,2.5,8.12,19.03,9.36,58.27,27.23,20.12,10.89,72.64,85.31,60.81,21.47,63.51,83.48,46.78,16.78,84.92,79.37,28.17,15.99,15.02,38.95,36.85,26.15,24.34,15.01,42.28,20.95,67.28,16.94,43.97,36.32,32.23,16.18,17.52,18.05,15.36,19.0,36.18,10.3,23.69,21.8,20.25,9.6,71.83,30.8,42.87,19.21,62.28,19.2,17.3,7.22,9.47,17.77,18.67,26.95,16.85,9.67,11.33,12.33,15.0,2.33,28.67,34.7,2.3,3.0,19.63,47.5,115.0,66.0,58.06,10.93,3.0,7.0,1.0,4.0,3.0,6.0,1.0,4.0
National Capital Region ,Caesio ,2.48,448.96,192.52,11.44,172.96,417.72,192.52,11.44,217.54,377.28,315.2,153.88,339.56,432.99,370.24,167.71,353.13,364.68,350.24,126.51,464.65,475.19,368.29,367.16,185.68,427.1,228.89,379.58,396.8,573.93,411.69,493.8,393.72,553.78,413.77,562.43,477.18,568.91,388.52,602.2,406.72,617.28,336.84,448.56,486.34,794.54,699.53,458.88,594.52,712.68,571.15,901.91,302.37,531.38,253.88,293.99,511.56,628.6,865.18,609.33,559.43,529.92,557.97,338.24,424.12,705.18,497.24,494.14,630.6,1026.3,1057.8,738.9,465.04,745.36,560.24,563.88,643.0,1077.0,1048.16,704.68,877.0,1142.0,871.37,542.03,613.0,1554.0,1012.0,820.0,763.0,1275.0,1322.0,957.0
National Capital Region ,Cavalla ,0.39,7.56,2.8,0.2,2.6933333333333334,5.08,2.8,0.2,1.49,1.49,1.49,1.49,2.38,2.04,4.65,4.02,44.05,5.86,3.85,2.36,49.0,47.34,29.09,12.77,39.92,41.01,37.21,31.06,59.38,105.27,24.1,36.7,17.97,130.5,30.62,36.39,11.3,39.24,69.28,51.82,10.22,13.94,21.4,13.44,6.65,16.7,41.7,26.88,8.58,21.64,14.64,16.26,6.49,8.0,20.61,17.56,10.01,16.9,23.05,22.72,4.77,105.18666666666667,29.21,281.58,2.5,0.4,12.13,13.37,7.8,29.120000000000005,11.77,67.79,3.6,12.4,5.58,24.13,12.8,39.0,48.88,16.56,33.0,20.0,36.28,8.38,52.0,18.0,23.0,25.0,9.0,42.0,41.0,49.0
National Capital Region ,Crevalle ,,,,,,,,,11.47,5.956666666666667,5.28,1.12,3.57,85.53,7.92,4.54,11.85,7.07,16.01,3.55,11.54,50.79,14.21,27.87,17.33,38.06,19.72,22.04,34.03,81.83,37.56,52.81,24.7,30.88,32.35,48.51,5.06,25.42,38.64,10.83,5.44,6.69,50.83,33.93,6.14,22.59,35.97,16.01,4.88,13.32,13.28,6.96,7.73,7.53,25.75,19.86,33.91,20.42,55.04,30.49,12.4,86.42,85.09,27.87,26.68,33.22,8.83,14.84,2.6,22.25,77.53,62.05,20.4,44.71,60.89,28.22,67.1,21.0,66.93,22.82,41.0,34.0,45.01,75.21,132.0,32.0,107.0,21.0,95.0,49.0,121.0,99.0
National Capital Region ,Eastern little tuna ,45.44,38.8,97.24,0.28,0.7,48.97,97.24,48.97,18.615000000000002,7.95,29.28,18.615000000000002,0.29,6.2,4.01,5.0,33.27,23.93,33.4,30.2,36.77,64.69,32.05,33.4,34.76,29.82,14.55,0.87,31.92,50.26,53.79,12.19,4.58,91.53,39.41,7.54,119.39999999999999,107.0,179.4,71.8,13.0,86.56,25.08,11.0,1.24,201.62,286.08,96.38,0.12,7.72,44.24,82.52,17.6,15.48,34.64,0.12,21.18,21.18,25.56,16.8,0.4,11.2,35.8,2.2,11.973333333333334,3.8,14.68,17.44,58.0,47.76,23.52,53.65,0.84,12.68,56.8,22.8,9.0,56.0,67.48,12.2,9.0,18.0,73.26,30.92,8.0,19.0,41.0,14.0,45.0,28.0,28.0,11.0
National Capital Region ,Fimbriated sardines ,23.74,8.38,44.1,57.44,6.16,1.96,4.303333333333334,4.79,10.28,13.09,1394.48,509.68,19.34,77.12,54.3,65.3,62.28,28.59,78.75,128.46,26.5,70.17,42.76,83.55,2.51,23.63,8.45,80.2,43.98,42.7,20.29,571.15,241.87,67.86,55.33,180.31,180.92,30.44,872.42,565.8,146.88,361.64,543.42,528.57,262.28,262.42,387.86,718.84,323.0,333.86,409.6,424.22,69.12,99.67,225.37,163.2,28.56,13.7,47.01,61.03,22.15,49.63,83.6,17.0,86.44,84.93,125.74,31.64,101.68,148.87,83.64,67.83,71.8,97.67,65.33,132.53,73.5,59.0,113.0,65.67,4.0,16.0,37.95,58.35,13.0,48.0,103.0,28.0,60.0,325.0,1401.0,38.0
