Region,Species,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
National Capital Region ,Acetes ,400.0,80.0,5.760000000000001,,496.96,226.76999999999998,209.26999999999998,231.47,228.58666666666667,198.53,279.69,176.64999999999998,210.13333333333333,131.88,18.7,20.87,11.239999999999998,13.47,0.96,10.6,13.24,20.880000000000003,43.6
National Capital Region ,Anchovies ,274.0,17.0,222.67999999999998,100.28999999999999,127.94999999999999,214.26999999999998,253.28,201.23000000000002,237.07999999999998,225.54,153.48000000000002,177.17000000000002,225.91999999999996,170.32,248.41,167.55,141.45000000000002,354.46000000000004,130.68999999999997,45.419999999999995,20.44,21.72,5.56
National Capital Region ,Big-eyed scad ,3039.0,2983.0,1961.96,1458.04,1492.15,1333.86,998.05,1174.92,1441.59,2517.96,2099.58,2013.2000000000003,1197.38,886.6,650.49,1235.23,539.47,272.22,498.43000000000006,268.96,339.60999999999996,403.84000000000003,436.84
National Capital Region ,Bigeye tuna ,,,,,,,,,560.0,,,,,167.62666666666667,191.32,265.56,238.36,271.56,61.46,26.19,46.86,17.84,58.900000000000006
National Capital Region ,Blue crab ,14.0,15.0,249.99,72.43,80.7,50.18,72.86,106.0,164.71,75.34,80.83999999999999,83.97999999999999,164.51,102.58,116.97,208.45000000000005,210.55,240.23,116.51,39.01,13.133333333333333,2.52,4.859999999999999
National Capital Region ,Caesio ,4317.0,3999.0,3432.3999999999996,3472.8399999999997,2334.52,3453.6,2120.68,1985.56,2614.67,1381.6200000000001,2780.2599999999998,2439.29,1809.3999999999999,2036.81,1923.6999999999998,1876.22,1221.25,1675.29,1194.56,1310.5,1063.9,794.6400000000001,655.4000000000001
National Capital Region ,Cavalla ,141.0,118.0,97.66,117.24000000000001,45.709999999999994,116.48,28.4,420.74666666666667,72.67999999999999,52.66,61.120000000000005,91.93,59.0,171.64000000000001,215.48000000000002,225.45,149.20000000000002,138.20000000000002,56.12,13.09,5.96,10.773333333333333,10.95
National Capital Region ,Crevalle ,364.0,292.0,195.21999999999997,177.85,154.22,164.43,83.57000000000001,211.78000000000003,139.86,60.870000000000005,38.44,80.71000000000001,96.89,79.95,136.44,206.23000000000002,97.15,104.41,38.480000000000004,101.56,23.82666666666667,,
National Capital Region ,Eastern little tuna ,112.0,82.0,131.18,144.68,93.11999999999999,182.93,47.89333333333333,49.6,84.72,67.84,134.6,585.3199999999999,135.64,477.6,143.05999999999997,148.16,80.0,166.91,120.8,15.5,74.46,195.88,181.76
National Capital Region ,Fimbriated sardines ,1824.0,192.0,116.30000000000001,311.17,367.33000000000004,402.02,328.75,172.38,150.3,557.36,1490.68,1631.4,1580.5100000000002,1649.58,545.37,678.12,114.79,222.98000000000002,298.08000000000004,216.06,1927.53,17.213333333333335,133.66
